job_id,title,company,location_city,location_province,location_country,location_raw_input,seniority_level,employment_level,job_function,industries,posted_date,description,keywords,link,num_applicants
4115763088,"Software Engineer I, Frontend (Accommodation)",tiket.com,Jakarta Timur,Jawa,Indonesia,"Jakarta, Jakarta, Indonesia",,full-time,engineering and information technology,software development,2025-01-06,"We think you also hate when travel app is giving you a headache, right? A slight misinformation can ruin the trip.That is exactly what we are tackling as t-fam! Making sure that our 50+ million users have the best experience in crafting their own adventure.Your main duties in flying with us:Develop and maintain responsive and interactive user interfaces using React.js and Next.js. Work on server-side rendering (SSR) and static site generation (SSG) with Next.js. Collaborate with senior developers and designers to implement new features and improve existing functionality. Write clean, reusable, and efficient code Participate in code reviews and contribute to best practices. Troubleshoot and debug applications. Stay up-to-date with the latest web development trends and technologiesMandatory belongings that you must prepare:0-2 years of experience in frontend developmentSolid understanding of JavaScript, HTML, CSS, and the React ecosystem. Experience with Next.js, including server-side rendering and static site generation. Familiarity with state management tools like Redux or Context API. Knowledge of RESTful APIs and how to integrate them into React/Next.js applications. Ability to work with version control systems (e.g., Git). A basic understanding of responsive design and cross-browser compatibility. Strong problem-solving skills and attention to detail. Excellent communication and teamwork skills. Eagerness to learn and grow in a fast-paced environmentIn the event that you haven’t received any updates after 3 weeks, your data will be kept and we may contact you for another career destination. Meanwhile, discover more about tiket.com on Instagram, LinkedIn, or YouTube.",0-2 years|ai|api|c|communication|control systems|css|design|development|fast-paced|frontend|git|java|javascript|next.js|r|react|redux|rest|review|senior|systems|teamwork|web|web development,https://id.linkedin.com/jobs/view/software-engineer-i-frontend-accommodation-at-tiket-com-4115763088?trk=public_jobs_topcard-title,Over 200 applicants
4027452517,Web Developer,PT Bank Digital BCA (BCA Digital),Jakarta Timur,Jawa,Indonesia,"Jakarta, Jakarta, Indonesia",entry level,full-time,engineering and information technology,banking,2024-10-08,"ResponsibilitiesAnalyse, design and develop an apps based on customer, business and Bank's operational needs.Perform system testing, both unit tests and system integration tests, to ensure that the application can be used and connected to other required systems.Monitor and maintain apps performance and enhancement to suit the needs of customers, business, and the Bank's operations.Develop and manage documentation related to apps development.RequirementsAt least 2-3 years of Web Developer experience using TypeScript, React.js, and Next.js.Proficiency in React.js and Next.js is required.Good understanding of micro frontend architecture.Additional experience with client-side tools like React Query, Redux is preferred.Knowledge of infrastructure like Docker and Kubernetes.Familiar with Java and Spring Boot.Good communication and collaboration skill.Good understanding of software security.Able to do code testing, bug troubleshooting, and provide application support.Updated on technological developments.Preferred Experience in Banking Industry.",ai|architect|architecture|c|collaboration|communication|design|development|docker|documentation|frontend|go|infrastructure|integration|java|kubernetes|next.js|operations|r|react|redux|security|spring|support|system integration|systems|testing|troubleshooting|typescript|web,https://id.linkedin.com/jobs/view/web-developer-at-pt-bank-digital-bca-bca-digital-4027452517?trk=public_jobs_topcard-title,Over 200 applicants
4188450252,Front End Developer,PT Adicipta Inovasi Teknologi,Jakarta Timur,Jawa,Indonesia,"Jakarta, Jakarta, Indonesia",associate,full-time,engineering and information technology,information technology & services,2025-03-23,"Develop and maintain web applications using React.js, including integration with backend APIs.Optimize application performance to be fast, responsive, and user-friendly.Contribute to architecture and best practices in frontend development.Implement UI/UX that is in accordance with the design of the design team.Ensure web applications are compatible across browsers and devices.Assist in debugging and troubleshooting when there are issues in the frontend system.Work closely with the backend team to ensure smooth system integration.Minimum QualificationsCandidate must possess at least a Bachelor's Degree, Computer Science or Information Technology, Engineering (Computer or Telecommunication) or equivalentMinimum 1 year of experience in frontend development with React.js.Proficient in JavaScript (ES6+), TypeScript, HTML, CSS, Tailwind CSS, or Styled Components.Experience with state management such as Redux, Zustand, or React Context API.Understanding SSR & SSG with Next.js is a plus.Experience in REST or GraphQL API integration.Able to write clean, maintainable, and scalable code.Able to work in a team and have good communication.",ai|api|architect|architecture|bachelor|backend|c|communication|computer science|css|debugging|degree|design|development|engineering|frontend|go|graphql|information technology|integration|java|javascript|next.js|r|react|redux|rest|scala|system integration|tailwind|troubleshooting|typescript|ui/ux|web,https://id.linkedin.com/jobs/view/front-end-developer-at-pt-adicipta-inovasi-teknologi-4188450252?trk=public_jobs_topcard-title,33 applicants
4178221580,Web Developer,PT Bank Digital BCA (BCA Digital),Daerah Khusus ibukota Jakarta,Jawa,Indonesia,"South Jakarta, Jakarta, Indonesia",associate,full-time,information technology,banking,2025-03-16,"ResponsibilitiesAnalyse, design and develop an apps based on customer, business and Bank's operational needs.Perform system testing, both unit tests and system integration tests, to ensure that the application can be used and connected to other required systems.Monitor and maintain apps performance and enhancement to suit the needs of customers, business, and the Bank's operations.Develop and manage documentation related to apps development.RequirementsAt least 2-3 years of Web Developer experience using TypeScript, React.js, and Next.js.Proficiency in React.js and Next.js is required.Good understanding of micro frontend architecture.Additional experience with client-side tools like React Query, Redux is preferred.Knowledge of infrastructure like Docker and Kubernetes.Familiar with Java and Spring Boot.Good communication and collaboration skill.Good understanding of software security.Able to do code testing, bug troubleshooting, and provide application support.Updated on technological developments.Preferred Experience in Banking Industry.Our office location:PT BANK DIGITAL BCAPlaza MutiaraKuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta SelatanDKI JakartaWe perform WFO/WFH policy, so you will be required to come to the office at times.",ai|architect|architecture|c|collaboration|communication|design|development|docker|documentation|frontend|git|go|infrastructure|integration|java|kubernetes|next.js|operations|r|react|redux|security|spring|support|system integration|systems|testing|troubleshooting|typescript|web,https://id.linkedin.com/jobs/view/web-developer-at-pt-bank-digital-bca-bca-digital-4178221580?trk=public_jobs_topcard-title,Over 200 applicants
4199554439,Internship Web Developer,PT. Sasa Inti,Jakarta Timur,Jawa,Indonesia,"Jakarta, Jakarta, Indonesia",internship,internship,engineering and information technology,manufacturing,2025-04-03,"DESKRIPSI PEKERJAANMendukung pengembangan situs web berdasarkan kebutuhan bisnis.Mendukung pengembangan dan penyelesaian pengembangan web sesuai dengan jadwal yang telah ditetapkan.Membantu dalam penyusunan dokumen terkait pengembangan web (spesifikasi teknis, skenario dan hasil pengujian, serta panduan pengguna).",ai|r|web,https://id.linkedin.com/jobs/view/internship-web-developer-at-pt-sasa-inti-4199554439?trk=public_jobs_topcard-title,Over 200 applicants
4158977188,Web Developer,PT Astra International Tbk,Jakarta Timur,Jawa,Indonesia,"Jakarta, Jakarta, Indonesia",entry level,full-time,engineering and information technology,automation machinery manufacturing,2025-03-07,"Deskripsi PekerjaanMengembangkan aplikasi berbasis webMenemukan dan memperbaiki bug dan melakukan pemrogramanPersyaratanMinimal pendidikan D3 jurusan Teknik Informatika, Sistem Informasi, Ilmu Komputer dan jurusan lain yang relavanMemiliki komunikasi yang baik dan keterampilan interpersonal yang baikMemiliki motivasi untuk mempelajari teknologi baru Dapat bekerja secara mandiri dan bekerja sama dalam timMemiliki kemampuan pemrograman .Net/PHP/Javascript",ai|c|java|javascript|php|r|web,https://id.linkedin.com/jobs/view/web-developer-at-pt-astra-international-tbk-4158977188?trk=public_jobs_topcard-title,Over 200 applicants
4180623888,Software Engineer (Backend) - Digital Products,Flip,,,,Jakarta Metropolitan Area,mid-senior level,full-time,engineering,financial services,2025-03-16,"About The TeamIn the Digital Product team at Flip.id, you will be part of a dynamic and rapidly growing group responsible for building, maintaining, and enhancing the end-to-end process of purchasing digital products (Pulsa, Token Listrik, Game Voucher, etc). Our mission is to deliver seamless and efficient digital experiences. You’ll have the unique opportunity to shape our direction and drive innovation as we expand. You’ll be involved in creating and launching new products, improving the user journey, conducting experiments, integrating partner services, and handling operational issues. Collaborate with cross-functional teams to make a real impact on millions of users across Indonesia.About FlipRafi, Luqman, and Anjar, who were college friends in Universitas Indonesia, started Flip as a project in 2015 to transfer payments to each other at a fraction of what banks would charge them. They are pioneers in the Indonesian market, with their technology now helping millions of Indonesians, both individuals and businesses, carry out bank-to-bank money transfers through a reliable and seamless app.After eight years of operations, Flip has helped Indonesians transfer money worth several trillions of rupiah and has received double-digit funding from respectable investors such as Sequoia India, Insight Partner, and Insignia. Flip’s ultimate mission is to give Indonesians access to one of the most progressive and fairest financial services in the world.At Flip, we always strive to provide the fairest place for you to work, learn, and grow with talented and fun people in various opportunities to advance your career and get fair rewards. We believe that we have to treat employees, customers, and all stakeholders fairly and respectfully. Fair treatment for employees means we establish clear goals, facilitate our employees to achieve them, and value their contribution to the company with equitable benefits.What You'll DoWork cross-functionally with the Product, Design, BD, Operations, and Backend teams across the squads to ship world-class products and features.Write code that's clear, concise, performant, tested, and easily understood by others.Partner with the product management team to execute the feature roadmap.Work with the overall backend teams to execute the engineering roadmap.Help debug production issues across services and levels of the stack.What You'll NeedHave a solid background in common programming problems and solutions.Strong knowledge and experience in PHP, Yii2 experience is a plus.Intermediate knowledge and experience in Go.Experience in using GCP Stack is a plus.Experience in working with large data set and/or high concurrency system is a plus.Experience in migrating monolith service into micro services is a huge plus.Solid understanding of algorithms, algorithmic complexities, OOP, design patterns, and clean code.Ability to plan, prioritize, estimate, and execute a task with a good degree of predictability.Ability to scope, review and refine user stories and/or tasks for technical completeness and to alleviate dependency risk.P.S. if you experience problems when submitting your CV through this platform, you can send it directly to career@flip.id",ai|algorithms|api|backend|background in|c|clean code|cross-functional|degree|design|design patterns|dynamic|engineering|gcp|git|go|less|media|oop|operations|php|product|product management|programming|r|rest|review|service|yii,https://id.linkedin.com/jobs/view/software-engineer-backend-digital-products-at-flip-4180623888?trk=public_jobs_topcard-title,Be among the first 25 applicants
4102981282,Front End Developer,bit. (PT. Bringin Inti Teknologi),Jakarta Timur,Jawa,Indonesia,"Jakarta, Jakarta, Indonesia",entry level,full-time,engineering and information technology,it services and it consulting,2025-01-06,"ResponsibilitiesDevelop user interfaces with JavaScript frameworks (React, Vue.js).Implement and manage JavaScript libraries (jQuery, Bootstrap).Integrate and consume REST APIs in web applications.Use Git and GitHub for version control and collaborative development.Collaborate with backend developersEnsure cross-browser and device compatibility of applications.Optimize front-end code for performance and scalability.Conduct thorough testing and debugging to maintain high-quality code.RequirementsBachelor's degree in computer science or a related fieldKnowledge of JavaScript frameworks such as React and Vue JSExperience with JavaScript libraries such as jQuery and BootstrapExperience consuming REST APIs for webHave experience with Git and Github Experienced in laravel and codeigniter is a plus",ai|api|bachelor|backend|bootstrap|c|codeigniter|collaborative|computer science|debugging|degree|development|experienced|git|github|java|javascript|jquery|laravel|r|react|rest|scala|testing|vue|web,https://id.linkedin.com/jobs/view/front-end-developer-at-bit-pt-bringin-inti-teknologi-4102981282?trk=public_jobs_topcard-title,Over 200 applicants
4154711390,IT Developer Internship,PT. TRI SAPTA JAYA,Jakarta Timur,Jawa,Indonesia,"East Jakarta, Jakarta, Indonesia",entry level,internship,engineering and information technology,pharmaceutical manufacturing,2025-03-07,"ResponsibilitiesMembantu team IT dalam menyelesaikan project internal dan eksternal.RequirementsPendidikan minimal Diploma Teknik Informatika.Mahasiswa tahap akhir atau sedang menyelesaikan skripsi / menunggu sidang.Familiar dengan data base ASP.Net, Basic Phyton, C#, SQL Server, Java, Oracle Developer (form & report), Oracle PLSQL (function & procedure).Bersedia menjalani proses magang selama 6 bulan (work form office).Memiliki komunikasi yang baikPenempatan di Kawasan Industri Pulogadung, Jakarta Timur",ai|c|c#|intern|java|oracle|r|sql,https://id.linkedin.com/jobs/view/it-developer-internship-at-pt-tri-sapta-jaya-4154711390?trk=public_jobs_topcard-title,55 applicants
4162706488,Fullstack Developer,PT Astra International Tbk,Jakarta Timur,Jawa,Indonesia,"Jakarta, Jakarta, Indonesia",entry level,full-time,engineering and information technology,automation machinery manufacturing,2025-03-07,"Deskripsi PekerjaanMembangun front-end web dan back-end API (fitur/sistem baru atau meningkatkan sistem yang sudah ada).Berkolaborasi dengan tim lain untuk memastikan kualitas dan performa aplikasi sesuai dengan spesifikasi.Mengidentifikasi potensi permasalahan dan menyelesaikan isu pada aplikasi.Secara berkelanjutan mencari, mengevaluasi, dan mengimplementasikan teknologi baru guna memaksimalkan efisiensi pengembangan.Melakukan pembuatan, commit, dan branching kode sumber ke dalam repository.Membuat, memperbarui, dan memantau tugas yang akan dan telah dikerjakan menggunakan tools yang tersedia.Membuat dan memelihara dokumentasi teknis terkait proses pengembangan dan proses teknis lainnya.Selalu mengikuti tren industri terbaru terkait teknologi backend dan frontend web serta praktik terbaiknya.PersyaratanPendidikan minimal S1 di bidang Teknik Informatika, Sistem Informasi, Teknik Komputer, Ilmu Komputer, atau bidang terkait.Menguasai JavaScript, React, Next.js dan Spring Boot.Memiliki keahlian yang kuat dalam Node.js.Berpengalaman dalam mengelola database MySQL.Menguasai HTML dan CSS.Mahir dalam pengembangan dan integrasi API.Memiliki pemahaman mendalam tentang client-side rendering dan server-side rendering.Memiliki keterampilan analisis, pemecahan masalah, dan komunikasi yang baik.Mampu bekerja secara efektif dalam lingkungan kerja tim.",ai|api|backend|c|css|database|frontend|java|javascript|lua|mysql|next.js|node.js|r|react|spring|sql|web,https://id.linkedin.com/jobs/view/fullstack-developer-at-pt-astra-international-tbk-4162706488?trk=public_jobs_topcard-title,Over 200 applicants
